code_commune;nb_menages_fiscaux;nb_personnes;revenu_median_disponible
11017;NULL;NULL;NULL
11018;539;1202;22090
11019;NULL;NULL;NULL
11020;NULL;NULL;NULL
11021;242;465;19020
11022;554;1111;19100
11023;287;660;20320
11024;389;826;21190
11025;122;266;20020
11026;69;158;23800
11027;334;817;18970
11028;196;362;18960
11029;NULL;NULL;NULL
11030;45;113;25500
11031;NULL;NULL;NULL
11394;60;126;20660
11395;NULL;NULL;NULL
11396;274;571;19010
11397;2410;5126;18930
11398;116;233;20000
11399;46;108;22290
11400;NULL;NULL;NULL
11401;410;762;18610
11402;NULL;NULL;NULL
11404;399;935;22000
11405;254;554;21420
11406;NULL;NULL;NULL
11407;123;263;22080
11408;189;459;21460
11409;NULL;NULL;NULL
11410;401;897;20300
11411;66;131;19600
11412;NULL;NULL;NULL
11413;197;416;19640
11414;NULL;NULL;NULL
11415;54;114;22270
11416;111;269;21190
11417;NULL;NULL;NULL
11418;487;1168;20630
11419;NULL;NULL;NULL
11420;59;127;20490
10046;49;102;22550
10047;NULL;NULL;NULL
10048;64;151;24370
10049;191;532;24950
10050;94;197;20570
10051;446;1007;23520
10052;111;237;21610
10053;242;634;22980
10054;56;120;23610
10055;105;235;22110
10056;95;240;23300
10057;NULL;NULL;NULL
10058;116;221;22710
10059;53;106;20740
10060;1254;2921;22580
10061;293;693;20430
10062;84;193;22080
10063;188;411;21310
10064;1243;2325;20020
10065;40;100;20210
10066;178;429;23910
10067;789;1849;22700
10068;57;122;33500
10069;51;116;21090
10070;205;507;28370
10071;NULL;NULL;NULL
10072;NULL;NULL;NULL
10073;62;128;21830
10074;213;482;20910
10075;47;109;20890
10076;124;282;23650
10077;37;103;22470
10078;NULL;NULL;NULL
10079;55;114;27270
10080;433;946;20010
10081;4937;11208;16090
10082;93;233;23240
10083;145;352;23010
10084;408;1062;25100
10085;NULL;NULL;NULL
10086;90;237;21240
10087;NULL;NULL;NULL
10089;295;697;21280
10090;100;227;22430
10091;57;132;21800
10092;52;121;21570
10093;42;102;22490
10094;265;578;19010
10095;120;298;21440
10096;205;451;22770
10097;70;158;25470
10098;128;289;18710
10099;230;516;20950
10100;464;1149;22400
10101;69;159;21500
10102;73;165;24660
10103;70;163;28280
10104;123;296;24080
10105;NULL;NULL;NULL
10106;59;138;23030
10107;49;105;21330
10108;NULL;NULL;NULL
10109;102;231;23080
10110;224;599;24010
10111;53;103;27530
10112;73;160;19990
10113;99;203;23980
10114;319;683;20680
10115;854;2027;24170
10116;126;315;23270
10117;59;118;21590
10118;48;103;21870
10119;89;169;22700
10120;81;193;21540
10121;137;319;21760
10122;105;236;20430
10123;411;870;21380
10124;109;270;22220
10125;114;294;22060
10126;57;135;22940
10127;NULL;NULL;NULL
10128;NULL;NULL;NULL
10129;121;311;24010
10130;40;103;25190
10131;147;344;21770
10132;106;247;23550
10133;106;241;23300
10134;NULL;NULL;NULL
10135;NULL;NULL;NULL
10136;59;117;22110
10137;NULL;NULL;NULL
10138;52;131;20710
10139;75;167;22490
10140;463;939;18800
10141;308;636;21780
10142;810;1774;20430
10143;77;153;22530
10144;67;156;21420
10145;90;204;23080
10146;NULL;NULL;NULL
10147;51;125;22940
10148;168;411;24500
10149;126;344;24830
10150;124;255;23200
10151;382;844;20560
10153;239;624;25050
10154;NULL;NULL;NULL
10155;79;175;37950
10156;248;636;21290
10157;96;206;22830
12247;149;298;20400
12248;217;412;19870
12249;89;195;17620
12250;96;202;20320
12251;144;299;19970
12252;205;454;20020
12253;491;995;20680
12254;927;2224;25150
12255;332;713;21800
12256;185;392;20360
12257;334;739;20910
12258;449;896;18640
12259;300;640;20960
12260;87;159;20040
12261;59;113;21380
12262;306;598;20230
12263;292;725;22210
12264;1282;3013;24500
12265;174;386;18990
12266;228;523;19390
12267;281;574;19230
12268;176;342;18050
12269;56;130;18870
12270;1897;4054;21080
12272;203;481;23320
12273;123;270;20090
12274;49;112;21500
12275;NULL;NULL;NULL
12276;167;387;17790
12277;226;470;19300
12278;81;163;20720
12280;190;350;19250
12281;313;757;23660
12282;183;433;20210
12283;195;441;18650
12284;156;316;19400
12286;503;1191;22080
12287;296;660;20020
12288;650;1559;24070
12289;97;202;22990
12290;200;468;21530
12291;161;350;21890
12292;194;449;21610
11421;253;571;17030
11422;147;323;22520
11423;70;156;16900
11424;NULL;NULL;NULL
11425;731;1696;20580
11426;519;1179;20790
11427;147;309;18350
11428;105;219;19620
11429;1886;4433;23260
11430;545;1363;22330
11431;99;207;15550
11432;123;323;22600
11433;411;866;19080
11434;536;1207;20070
11435;82;143;15450
11436;180;365;16930
11437;350;859;21960
11438;140;337;21110
11439;181;417;20450
11440;NULL;NULL;NULL
11441;1116;2507;23020
12001;478;1138;24420
12002;402;938;21810
12003;144;310;22190
12004;197;432;20160
12006;153;343;19800
12007;84;177;19050
12008;331;839;21690
12009;NULL;NULL;NULL
12010;61;135;20730
12011;362;783;20980
12012;297;647;21650
12013;1737;3483;19970
12015;96;231;18110
12016;361;758;21180
12017;92;184;19110
12018;74;167;21380
12019;NULL;NULL;NULL
12021;697;1547;19410
12022;52;98;19480
12023;NULL;NULL;NULL
12024;89;191;22020
12025;392;806;20580
12026;413;978;21380
12027;102;219;22190
12028;227;471;19240
12029;93;187;17090
12030;194;394;19470
12031;122;286;21200
12032;240;594;21420
12033;1306;2938;22920
12034;129;298;20990
12035;73;155;15580
12036;286;585;20770
12037;264;545;17100
12038;82;156;19280
12039;139;242;18650
12041;116;269;18890
12042;89;203;20520
12043;785;1991;24330
12044;458;948;20010
12045;160;409;21760
12046;262;572;21530
12047;183;419;20470
12048;174;346;20230
12049;187;411;20150
12050;188;415;20320
12051;146;298;18910
12052;2210;4365;20430
12053;140;326;20940
12054;165;367;19370
12055;NULL;NULL;NULL
12056;1328;3041;22020
12057;410;872;20420
12058;60;112;18280
12059;209;517;19940
12060;51;105;19920
12061;239;537;20470
12062;147;333;20590
12063;484;1185;20250
12064;102;204;17230
12065;222;437;19190
12066;412;910;23890
12067;NULL;NULL;NULL
12068;396;810;19700
12069;114;252;17480
12070;233;537;23030
12071;142;310;21390
12072;109;248;22550
12073;255;655;22410
12074;124;265;17850
12075;NULL;NULL;NULL
12076;789;1600;20620
12077;197;375;20370
12078;69;134;18080
12079;212;461;20900
12080;187;375;18940
12082;94;194;17590
12083;789;1425;18760
12084;723;1624;21390
12085;118;258;17680
12086;146;340;21880
12088;95;208;20210
12089;2480;4588;18930
12090;1213;3099;25300
12091;195;433;20310
12092;224;487;18900
12093;79;180;19250
12094;475;888;21000
12095;90;199;20950
12096;2216;4358;21500
12097;117;233;20390
12098;258;471;20830
12099;118;241;18700
12100;1130;2353;21710
12101;461;1024;23100
12102;999;2382;23660
12103;151;312;17070
12104;202;458;21400
12105;503;1089;20390
12106;217;533;22010
12107;132;276;21120
12108;160;354;20410
12109;49;100;18790
12110;161;323;19330
12111;212;503;23800
12113;165;418;21870
12115;135;339;18260
12116;110;238;19030
12118;246;479;20380
12119;570;1171;21490
12120;961;1969;21510
12121;344;747;21120
12122;53;110;21180
12124;145;323;17790
