code_commune;pop_00_14;pop_15_29;pop_30_44;pop_45_59;pop_60_74;pop_75_89;pop_90_p
21687;15,3286713286713;15,3286713286713;12,4545454545455;36,4055944055944;31,6153846153846;23,9510489510489;1,91608391608392
21688;16,141592920354;9,07964601769912;15,1327433628319;32,283185840708;32,283185840708;9,07964601769912;0
21689;29,8214285714286;14,9107142857143;26,8392857142857;43,7380952380952;42,7440476190476;8,94642857142857;0
21690;18;9;18;16;18;9;3
21691;95,4529558743662;41,2055410112163;84,4102876833525;82,4218232424064;64,3441936212533;25,1375686121227;5,02762995528257
21692;46,7849974894271;26,4468269955193;42,654939612413;62,5800874950718;37,3100733137267;26,8499631212028;5,37311197263927
21693;11;7;9;14;21;7;0
21694;2;0;3;3;9;6;1
21695;16,0344827586207;9,62068965517241;13,8965517241379;9,62068965517241;6,41379310344827;6,41379310344827;0
21696;15,3191489361702;16,3404255319149;16,3404255319149;25,531914893617;12,2553191489362;6,12765957446809;4,08510638297872
21698;69,299800720384;40,1497481747387;69,0013835735993;85,0208073673393;97,7462094308292;24,677442079129;3,10460865398036
21699;255,355853160157;163,233482404458;248,922191088094;242,008853722705;185,424144635998;77,0091514463493;5,04632354223901
21700;8,2;10,9333333333333;10,9333333333333;17,3111111111111;25,5111111111111;7,28888888888889;1,82222222222222
21701;18,8492063492063;7,93650793650794;28,7698412698413;26,7857142857143;32,7380952380952;9,92063492063492;0
21702;45,1626759854761;32,4610059236869;48,96589754853;62,2728411184182;59,7455062842798;12,2972303220882;2,09484281752075
21703;8,16666666666667;6,125;5,10416666666667;9,1875;11,2291666666667;8,16666666666667;1,02083333333333
21704;17,51;18,54;14,42;22,66;23,69;6,18;0
21705;4,41791044776119;11,044776119403;5,52238805970149;24,2985074626866;24,2985074626866;3,3134328358209;1,1044776119403
21706;13,6301397572866;12,7630139757287;18,1090019965327;23,5223472915376;40,6295089581104;3,2075928124824;2,1383952083216
21707;28,8139468051672;17,5353099865566;41,8484577928886;46,9635865255773;50,5400145956816;27,207756223053;3,09092807107576
21708;58,2590647672932;44,7383830308812;62,2956163689016;100,655350678767;51,6904106966436;5,18235637452942;3,17881808298353
21709;27,8444444444444;15,9111111111111;33,8111111111111;43,7555555555556;39,7777777777778;14,9166666666667;2,98333333333333
21710;113,95172735628;128,657639337057;153,193072049433;212,516296643533;252,278442965294;149,188936481386;49,2138851670186
21711;10;14;8;22;35;9;2
21712;24;29;26;62;46;39;3
21713;66,6443738896276;57,9761873315575;61,8517137145349;80,2396347882114;67,7379721251522;12,5815014871516;0,968616663764781
21714;46,701788158727;47,8222724559771;55,7463504313656;83,799922351024;45,9511952084576;51,9795283507283;5,9989430437204
21715;31,1623036649215;16,0837696335079;27,1413612565445;34,1780104712042;43,2251308900524;37,1937172774869;3,01570680628272
21716;18;31,2631578947368;19,8947368421053;38,8421052631579;33,1578947368421;18,9473684210526;1,89473684210526
21717;42;25;41;65;59;29;9
22001;138;92;116;120;81;44;5
22002;235,471042429746;181,319403163305;228,403731353278;241,544624494193;182,571175662085;67,4368242427898;11,2531986546035
22003;187,858817987843;146,183194953933;168,447040652965;200,294678321988;170,600658876826;43,5577321073757;3,05787709906951
22004;813;642;768;988;1029;470;100
22005;155,461092015906;129,756646024662;159,239935166329;196,433839500957;240,282052953602;113,013648539085;34,8127857994593
22006;81,7937743190661;35,0544747081712;59,4863813229572;47,8015564202335;29,7431906614786;18,0583657587549;1,06225680933852
22008;215;135;192;243;257;90;5
22009;29;15;31;27;33;24;3
22011;264;132;231;204;153;65;5
22012;173,806104182021;130,169946345514;137,914195593209;175,534273241016;176,422805915069;90,0427930667658;2,10988165640525
22013;327,770993990095;271,385062912806;301,734368856229;455,281519433545;444,977013220828;260,44693928785;63,4041022986469
22014;251,801335501134;160,886617343099;222,658079906014;227,509603538139;219,030652173117;96,0512609745191;4,06245056397814
22015;352,570549166949;251,798799213356;324,970783359983;355,12662787131;276,740712134503;118,577615949081;16,2149123048176
22016;37,3225716685561;37,7536258325707;49,2807521656549;86,9676946885177;99,0958525017656;54,5855788883645;11,9939242545705
22018;41,921128198883;38,1544274771801;41,3915615374106;62,7106518061757;77,7250672532485;23,932589702092;5,16457402501024
22019;132,215497279742;63,0447615743185;126,84326988377;77,8571118222641;70,5174501129073;23,5372525849713;0,984656742026602
22020;451;424;426;537;565;411;96
22021;223;169;233;222;240;71;8
22023;60;54;53;86;112;45;5
22024;35,7116760439067;24,3966420183534;36,577908970708;52,59490052402;46,4543795701276;29,2481266928337;2,01636618005053
22025;238,595952681317;205,81044734009;226,588302392388;457,260407572048;535,823515413116;472,921573599595;95,9998010014464
22026;164,165216769704;108,850959702781;149,811498578987;137,294810267207;125,169783250285;49,600260630381;2,10747080065506
22027;50,6088414888223;45,1896423892116;47,0694528399528;111,562063903239;93,2045459659569;59,3021588675862;7,06329454523134
22028;173,06751603109;97,6506132822244;174,307519490427;175,991589031932;176,847833746482;41,0725953128417;3,06233310500307
22029;45,0760310567799;41,0131193906648;54,1576394765498;82,3958003933909;74,1105094039038;42,1778799876044;6,06902029110627
22030;200,880717929319;131,348160184726;169,691720114879;180,097925915444;163,002513864535;49,9080058177976;4,07095617329928
22031;93,7010381793194;80,380961109602;84,4086290664494;168,393091861764;139,101964632787;80,0179804276789;6,99633472239907
22032;446;351;438;433;479;285;71
22033;45;33;51;71;103;46;12
22034;311;211;285;331;259;104;15
22035;182,935679374801;130,348272053102;206,364286588361;214,001530541114;229,724558307482;70,648736005738;7,97693712940104
22036;36,824644549763;47,7725118483412;39,8104265402844;51,7535545023697;20,9004739336493;11,9431279620853;0,995260663507109
22037;47,794082955762;54,8334022143317;59,500569346421;82,420719219242;92,7436510978326;39,6261133640864;7,08146180232432
22039;79,4099683554019;76,4803752779869;69,6186131545762;109,856715337505;153,034973818711;60,8291795121448;11,7701745436738
22040;110,763280725926;77,5699087196869;97,5055779520024;134,815720227363;99,5209041022233;44,9749212944566;1,84968697834124
22041;61,6302061494394;45,7191414452582;48,7785189599871;52,8567146075679;34,9986334125459;16,0171543260061;0,999631099195442
22042;102,574156811227;64,1536872184588;108,225688338644;104,866770005431;94,6733884330926;22,4367742570726;3,06953493607411
22043;28,855939173495;17,1286938209157;35,6928632246139;49,5258799450312;42,1437853102314;33,6106819383101;2,04215658740262
22044;424,399651065565;222,534742066529;394,983088875551;380,866596537518;288,795984150369;72,14966589969;8,27027140477827
22045;59,4289454028869;46,8187946656203;68,4172663366058;83,239580334361;76,6853860935346;25,3453278848695;3,06469928212203
22046;1184,48380435271;838,4799280451;1062,19887916096;1333,01667315254;1171,87882374968;700,862932778999;121,078958760016
22047;119;122;134;163;190;164;30
22048;368,904785509407;333,031144883715;373,42374371167;474,085019673653;475,543874213582;185,652937131304;12,3584948766678
22049;220,057791194682;186,505590095297;229,532810807159;329,848305021929;367,17605043953;207,476528852564;102,402923588839
22050;1899,42759479794;2244,79864485171;2034,21942181342;2991,09332663815;3193,39654669983;1885,65797971351;433,406485485438
