code_commune;nb_menages_fiscaux;nb_personnes;revenu_median_declare
02151;50;102;28210
02152;NULL;NULL;NULL
02153;321;799;23460
02154;145;380;22010
02155;81;187;24040
02156;99;229;20470
02157;361;832;21730
02158;107;258;20010
02159;120;306;19280
02160;211;497;17430
02162;102;300;20260
02163;1085;2581;19650
02164;133;330;20520
02165;736;1661;19410
02166;168;389;23590
02167;328;888;21800
02168;6932;15172;17110
02169;NULL;NULL;NULL
02170;55;124;22750
02171;NULL;NULL;NULL
02172;93;244;21980
02173;5423;11250;16550
02174;306;812;20970
02175;61;159;18760
02176;76;213;19330
02177;55;139;24140
02178;44;109;22260
02179;156;377;21540
02180;290;752;21150
02181;NULL;NULL;NULL
02182;55;135;16430
02183;78;195;25180
02184;123;283;20010
02185;149;393;22130
02186;573;1271;23340
02187;513;1206;24290
02188;66;141;19720
02189;141;322;18710
02190;232;569;21340
02191;213;499;21610
02192;145;392;21700
02193;NULL;NULL;NULL
02194;84;199;19670
02195;337;898;22790
02196;137;308;23440
02197;207;512;22900
02198;93;234;22080
02199;235;607;20430
02200;44;103;15950
02201;141;361;22830
02203;509;1244;18100
02204;NULL;NULL;NULL
02205;82;216;19330
02206;NULL;NULL;NULL
02207;84;225;22090
02208;109;270;23630
02209;288;663;18650
02210;144;372;22030
02211;122;297;21320
02212;284;650;20730
02213;125;310;22120
02214;NULL;NULL;NULL
02215;311;782;21460
02216;135;339;22030
02217;380;855;20510
02218;256;629;19830
02219;73;181;19690
02220;183;447;21360
02221;54;147;23230
02222;NULL;NULL;NULL
02223;126;310;21110
02224;135;363;19120
02225;NULL;NULL;NULL
02226;785;1841;21290
02227;55;138;21860
01171;327;898;24880
01173;5192;11689;35620
01174;75;169;24240
01175;340;834;21780
01177;87;186;23510
01179;841;1966;23410
01180;327;810;55100
01181;451;1224;24400
01183;566;1464;24990
01184;341;779;22860
01185;2013;3978;22250
01187;321;672;22460
01188;250;697;22360
01189;453;1082;27190
01190;NULL;NULL;NULL
01191;71;160;24420
01192;925;2216;22150
01193;100;223;23760
01194;2655;6273;22980
01195;723;1770;25480
01196;470;1186;20970
01197;175;388;24010
01198;104;267;24060
01199;915;2020;21390
01200;81;192;21990
01202;3317;7411;22620
01203;529;1290;23290
01204;284;696;25970
01206;116;276;24030
01207;125;342;25790
01208;67;132;23910
01209;270;713;29290
01210;106;188;21190
01211;605;1374;24260
01212;286;676;20330
01213;540;1429;23470
01214;73;159;23680
01215;54;136;23480
01216;368;822;23240
01219;77;162;19110
01224;1312;3371;22530
01225;154;364;26960
01227;276;668;23100
01228;263;639;25410
01229;524;1228;23540
01230;138;322;19280
01231;821;2041;23650
01232;949;2174;23070
01233;55;121;23600
01234;72;149;25060
01235;457;1134;21900
01236;407;991;21960
01237;658;1713;23090
01238;1051;2825;27940
01239;271;657;23280
01240;282;645;23870
01241;580;1323;24560
01242;56;122;18380
01243;510;1299;26410
01244;3429;8116;23340
01245;387;892;24030
01246;897;2136;22420
01247;139;308;28990
01248;870;2284;29210
01249;4069;9551;25910
01250;719;1963;26100
01252;316;850;24570
01254;845;2201;27010
01255;267;606;21330
01257;147;353;29270
01258;472;1220;26150
01259;263;702;24100
01260;116;333;27570
